,Apple,Apple,Apple,Apple,Apple,Samsung,Samsung,Samsung,Samsung,Samsung
,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Date,,,,,,,,,,
2015-02-25,28.637554168701172,29.262384500773326,28.495244842321494,29.253488259355986,298846800.0,21215.43359375,21307.74149916153,21123.12568833847,21230.81824465192,8374250.0
2015-02-26,29.000001907348633,29.10006257703535,28.152816368187036,28.637556382320206,365150000.0,21153.896484375,21230.81974431818,21046.203920454547,21215.435092329546,8179150.0
2015-02-27,28.564189910888672,29.033366736329917,28.515270742895876,28.906620693914956,248059200.0,20876.970703125,21169.279062269714,20876.970703125,21153.894411788413,13009400.0
2015-03-02,28.704267501831055,28.968874747744586,28.528605721266338,28.73984568797058,192386800.0,21892.359375,21892.359375,21030.818879567814,21153.896093200983,21805600.0
2015-03-03,28.764305114746094,28.799883300697513,28.48190877725586,28.675363042790107,151265200.0,21815.439453125,22107.747880212006,21630.82360443847,22076.978572097585,13748800.0
2015-03-04,28.581966400146484,28.808773070180983,28.53305064084708,28.706490037661048,126665200.0,22107.736328125,22153.89026617954,21692.350885634132,21707.735531652314,11603100.0
2015-03-05,28.10834312438965,28.628661280150922,27.963809737857854,28.590860736485048,226068400.0,21876.984375,22200.062203322785,21800.061082542194,22138.523569356537,9615600.0
2015-03-06,28.150590896606445,28.76652330753673,28.074989807114648,28.55083525175208,291368400.0,22184.67578125,22292.368382129855,21630.828119582176,21753.90537773058,11733500.0
2015-03-09,28.270660400390625,28.810993335881307,27.808154299397792,28.452994307989236,354114000.0,21846.208984375,22153.902068661973,21846.208984375,22153.902068661973,7814600.0
2015-03-10,27.68586540222168,28.288456909775928,27.52799102465237,28.108347014999616,275426400.0,21861.591796875,22200.054161077147,21846.20714395672,22061.592284812632,10419850.0
2015-03-11,27.181106567382812,27.74367338378652,27.15220056885229,27.739226959574506,275756000.0,22676.982421875,22753.905700103882,21815.4417057115,21830.826361357274,21108650.0
2015-03-12,27.672523498535156,27.772585873420383,27.045472395807206,27.19667629203401,193450800.0,22261.595703125,22661.59673165385,22261.595703125,22461.596217389426,19153200.0
2015-03-13,27.481292724609375,27.883762858746906,27.2567118077468,27.661404305960183,207309200.0,22415.439453125,22753.901819610073,22384.670147080902,22476.978065213196,9413100.0
2015-03-16,27.7836971282959,27.7836971282959,27.321192683806192,27.54577357347837,143497200.0,22615.4453125,22876.98447597789,22384.67546237245,22430.829432397957,8974550.0
2015-03-17,28.24842643737793,28.310686551220204,27.939348231903164,27.994937861613888,204092400.0,23030.82421875,23076.978175100197,22461.59209043086,22615.438611598194,13661150.0
2015-03-18,28.56639862060547,28.719826538431512,28.09944607958892,28.239531332955636,261083600.0,23123.134765625,23169.288727233034,22861.595649846142,23015.44218853959,12464350.0
2015-03-19,28.350711822509766,28.739839239681466,28.328476309392133,28.62865997763241,183238000.0,22615.4453125,23230.8315795068,22615.4453125,23230.8315795068,13225800.0
2015-03-20,27.994937896728516,28.55083249807218,27.830393067587416,28.517480077372603,274780400.0,22523.138671875,22769.2931928791,22461.600041623977,22692.36990506532,12704950.0
2015-03-23,28.286230087280273,28.42853941926363,28.132802149548414,28.266218632686233,150838800.0,22569.2890625,22676.981648346966,22430.827166411043,22492.36578689502,8122900.0
